SampleID,qPCR16S
1949D,91868646.1
1949E,38129604.64
1949H,36049622.93
1949I,35967674.53
1949J,547930136.4
1949K,343480376.7
1949L,246737883.8
1949M,43114397.68
1950A,155964.7625
1950B,1622794.922
1950C,6545069268
1954A,6371761.057
1954B,106307401.8
1954C,974720348.8
1955A,80348660.79
1955B,129052640.8
1955C,97894922.22
1955D,1005320521
1973A,25156596.74
1973B,18959176.75
1973C,198198779.2
1973D,5782938585
1974A,1030965428
1974B,249948999.2
1974C,3262798731
1974D,4663759878
1978A,48295889.52
1979A,752690167
1979B,181296295.9
1979C,572549627.3
1979D,1010779184
1982A,344992056.4
1982B,104013912
1982C,251166951.2
1994A,353269501.4
1994B,391017994.8
1994C,572333257.1
1994D,107519516.7
1994E,372839776.6
1999A,732173393.3
1999B,82395520.7
1999C,784125000
1999D,31197741.77
2026A,201506228.4
2026B,240939799.6
2033A,329881332.1
2040A,224310850.2
2040B,278398453.1
2048A,231831461.7
2052A,192452588
2052B,21481070.49
2052D,55851680.92
2052E,25720969.91
2065A,1520110605
2065B,47672614.96
2065C,87645790.16
2065D,389229344.5
2065E,214368595.4
2065F,927053143.8
2065G,494757565.2
2092A,532928794.7
2093A,184406707.9
2099A,162392.486
2099B,4834.755913
2099C,22979.24609
2099D,1089712.606
2099E,357311.1777
2105A,1287010624
2105B,451679220.7
2105C,231519382.7
2105D,74578784.14
2105E,188881386.1
2105F,52468701.2
2105P,2032460.046
2105Q,66923721
2106A,357849835.1
2106B,92193650.44
2106C,167575238.9
2109A,128143157.3
2109B,732137098.5
2109C,606758576.6
2112A,170711305.9
2112C,5776.245533
2120I,26806765.2
2120J,8370360.447
2120K,21117599.24
2120L,8512997.235
2120M,4353910.04
2122A,324399184.7
2122B,262601839.7
2125A,65406985.64
2130A,1211523720
2130B,1318024795
2130C,556329437.3
2130D,899922793.7
2136A,1650307345
2136B,1366659265
2140A,1951912603
2140B,1034765078
2141A,12612957.1
2141B,2718.898881
2142A,331964577
2142C,532375739.5
2142J,136509800.6
2142K,181588911.4
2142L,161208059.7
2142M,130203800
2144D,31229097.28
2144E,2680937.864
2146A,1329678333
2146B,1017615634
2147F,462.3790571
2147G,182050.2741
2147H,167638.2511
2147I,156171.8148
2147J,290564922.3
2150F,37565815.68
2150G,88681814.81
2150H,32752722.05
2150I,51470752.25
2150J,36035185.69
2156A,2594982925
2156B,1620124000
2157A,356586978.5
2159A,2911702.012
2160A,101987791
2160B,2163060502
2160C,1893654150
2162A,965713.2559
2162B,12913893.09
2162C,64011.53782
2162D,328170.5575
2162E,21434033.03
2162F,20759871.02
2162G,5960427.964
2162H,4870765.971
2162I,10162197.47
2162J,41838190.01
2162K,8452928.704
2162L,4964512.884
2162M,12283920.3
2162N,17866373.43
2162O,22872854.33
2162P,11467861.63
2162Q,25308395.12
2162R,9580747.743
2163A,21763505.95
2163B,6696932.366
2163C,4245439.853
2163D,25947.80626
2163E,16812855.85
2163F,37444843.4
2163G,121211321
2163H,271829338.7
2163I,25946206.26
2163J,6648320.142
2163K,16741039.58
2163L,13167016.03
2163M,41631067.68
2163N,127078361.3
2168A,2323135.464
2168B,838127098.2
2173A,835436481.5
2173B,404514986
2175A,12756195.07
2175B,1522326.501
2175C,49998173.52
2175D,56200117.75
2175E,15207561.98
2175F,23031121.26
2180A,10059928.43
2180B,41783185.86
2180C,428517800.7
2180D,8777139.335
2180E,27777874.9
2180F,306821.5831
2180G,538286.049
2181A,148517581.2
2181B,1472474.969
2181C,2248141.189
2181D,6823774.734
2181E,8183689.669
2181F,1764926.453
2181G,2233867.743
2181H,587417.7303
2181J,373157.3165
2181K,242979.6788
2181L,92320.0289
2181M,8664.988029
2181N,425135.1492
2181O,16520182.68
2181P,74422008.87
2181Q,67803965.69
2182A,307651862.8
2182B,120980989.2
2182C,156821963.9
2182D,668098385.4
2182E,102118601.9
2182F,268773622.2
2182G,258427820
2182H,264699277.6
2182I,312829668.4
2196A,164794.7405
2196B,23819538.61
2196C,20737608.66
2196D,113180750.7
2196E,2525165.086
2196F,25962972.31
2196G,24903813.11
2196H,22936051.72
2196I,137235708.7
2199A,6175601.833
2199B,6916769.692
2199C,453678.6215
2199D,69536.53764
2199E,348492.7394
2199F,772552.9732
2206A,282784573
2206B,23336991.09
2206C,12592222.12
2206D,52533.03402
2206E,19878.05125
653A,89912558.72
653B,27422137.36
653C,7601297.768
653D,6029.073781
653E,7457384.909
653F,3979198.161
653G,3769919.355
653H,486016666.7
668A,367195068.2
668B,63744593.02
668BB,16697779.52
668C,7277528.61
668CC,35446149.37
668D,3653028.184
668DD,29322167.22
668E,678937.5872
668EE,28964428.57
668F,26012159.15
668FF,33504515.41
668G,53302210.46
668GG,26258486.31
668H,33383775.69
668HH,22209420.56
668I,36294549.28
668II,39213785.5
668J,46525221.4
668JJ,136430.1483
668K,15309246.36
668KK,234310.0284
668L,35933640.44
668LL,7088428.987
668M,7582168.952
668MM,1582428.442
668NN,16791131.6
668O,26523780.34
668P,11349073.28
668Q,21270155.13
668R,49663471.31
668S,4804048.021
668T,44214628.24
668U,7419569.81
668V,1733671.062
668W,1222605.002
668X,9079436.485
668Y,28056227.25
668Z,17992963.74
840E,486326.7317
840F,150615.9192
957A,1055870865
957B,2353410.479
FMT.0001D,49975409.66
FMT.0009A,272880839.2
FMT.0009CC,88593557.25
FMT.0010A,236783019.2
FMT.0010B,1368064.217
FMT.0010C,234313.0561
FMT.0010E,955633.3677
FMT.0010F,42507.94983
FMT.0010M,2624109.199
FMT.0010O,10474605.7
FMT.0010Q,19189821.9
FMT.0010S,42714466.8
FMT.0016AA,18774.69313
FMT.0016B,12203429.91
FMT.0016C,23732682.96
FMT.0016D,18710514.43
FMT.0016G,39497420.17
FMT.0016H,15891061.53
FMT.0016I,4403183.726
FMT.0016J,20352009.39
FMT.0016K,3930366.12
FMT.0016L,27801867.97
FMT.0016M,13043298.54
FMT.0016N,5363543.661
FMT.0016O,418701.5706
FMT.0016P,11761939.78
FMT.0016R,76449946.99
FMT.0016S,4404439.058
FMT.0016U,7920391.013
FMT.0016V,324357937.8
FMT.0016W,195061351.2
FMT.0016Y,133671008.3
FMT.0016Z,729523.1266
FMT.0020A,241996670.5
FMT.0020C,1515775.627
FMT.0020D,14368280.12
FMT.0020E,221861803.4
FMT.0020G,302060791.6
FMT.0023A,495376487.9
FMT.0023B,279279893.1
FMT.0023C,583884091.6
FMT.0023D,469990738.7
FMT.0023E,130335158.3
FMT.0023F,227155292.5
FMT.0023G,184557651.7
FMT.0023H,79514189.21
FMT.0023I,154941096.7
FMT.0023J,326144448.7
FMT.0023K,305175231.4
FMT.0023L,317951486.1
FMT.0023M,92797128.81
FMT.0028C,1018.99106
FMT.0028F,2797.430788
FMT.0028G,2171516.899
FMT.0028H,105877.4385
FMT.0028I,142128.8137
FMT.0028K,31245827.57
FMT.0028Q,120980875
FMT.0028R,35841794.42
FMT.0034A,66.64934958
FMT.0034B,92007043.88
FMT.0034C,7222754.754
FMT.0034D,21297.25958
FMT.0034E,521914.414
FMT.0034F,24469725.83
FMT.0034G,378576582.5
FMT.0034J,44289692.73
FMT.0034K,28211830.56
FMT.0034L,59245538.46
FMT.0034M,16276234.88
FMT.0034N,11340366.07
FMT.0034O,67847428.57
FMT.0034P,94222424.44
FMT.0034Q,20714286.62
FMT.0034R,90687983.37
FMT.0034S,9994203.804
FMT.0034T,28600172.54
FMT.0034V,29075943.96
FMT.0035A,14126184.06
FMT.0035B,122182.6492
FMT.0035C,300542.5313
FMT.0035D,1897517.176
FMT.0035F,2236173.043
FMT.0035G,1147776.291
FMT.0035H,24619205.47
FMT.0035J,172701.5486
FMT.0035K,12916526.36
FMT.0035L,742152.0123
FMT.0035M,21716.64626
FMT.0036A,2721875.729
FMT.0039A,22619649.44
FMT.0039E,58618029.57
FMT.0050A,93143263.57
FMT.0050B,1980894.772
FMT.0050C,1145965.918
FMT.0050D,56992.14143
FMT.0050E,6864.704001
FMT.0050F,14756.43389
FMT.0050G,130705.9212
FMT.0050H,59.26956926
FMT.0050I,17.19558039
FMT.0050K,8141292.013
FMT.0052C,35182420.97
FMT.0052E,3286962.225
FMT.0052G,35695303.8
FMT.0052J,7335675.26
FMT.0052K,6057177.419
FMT.0052M,18688781.01
FMT.0052R,18477565.12
FMT.0052S,9103914.262
FMT.0052T,11196846.21
FMT.0055A,2027002.361
FMT.0055C,101543057.6
FMT.0055D,128595212.1
FMT.0055E,36346359.24
FMT.0055G,18301190.31
FMT.0055H,135583.8462
FMT.0055I,24774360.5
FMT.0055J,9541513.522
FMT.0055N,1617275.826
FMT.0055O,232239.7743
FMT.0055P,3864948.438
FMT.0055T,8999815.269
FMT.0057A,8707291.934
FMT.0057C,42445849.96
FMT.0057D,35692626.42
FMT.0057E,55681914.5
FMT.0057F,32948587.34
FMT.0057G,35362437.37
FMT.0057H,10223788.82
FMT.0057I,27481371.99
FMT.0057J,11568297.3
FMT.0057K,21169458.96
FMT.0057L,88980942.71
FMT.0057M,31538696.44
FMT.0057N,26416505.83
FMT.0057S,192741588.4
FMT.0057T,128828231.5
FMT.0059AA,9702487.128
FMT.0059B,117127324.1
FMT.0059BB,60191633.93
FMT.0059C,87973483.96
FMT.0059CC,32929017.32
FMT.0059D,170318032.8
FMT.0059DD,63012929.12
FMT.0059E,94663000
FMT.0059F,110971280.3
FMT.0059FF,144112043.1
FMT.0059G,98235248.35
FMT.0059H,101423482.6
FMT.0059I,1773.613015
FMT.0059J,6192754.571
FMT.0059K,17368074.61
FMT.0059L,8832650.532
FMT.0059M,4548400.681
FMT.0059N,61106589.4
FMT.0059O,1269689.226
FMT.0059P,73761.28178
FMT.0059Q,35686103.45
FMT.0059R,26477356.9
FMT.0059S,106784448.2
FMT.0059T,141140795.3
FMT.0059U,26447261.86
FMT.0059V,19960066.59
FMT.0059X,23353258.79
FMT.0059Y,30913794.22
FMT.0059Z,40555835.7
FMT.0060A,100067806.2
FMT.0060F,166244704.2
FMT.0060H,507264048.5
FMT.0060I,266790973.8
FMT.0060J,17357000.9
FMT.0060O,75201687.21
FMT.0061A,14360377.94
FMT.0061B,103915586.7
FMT.0061BB,727542444.9
FMT.0061C,66220492.58
FMT.0061CC,0
FMT.0061D,26179407.77
FMT.0061DD,715123166.1
FMT.0061E,19071804.58
FMT.0061EE,10198055.16
FMT.0061F,17742907.41
FMT.0061FF,14938203.61
FMT.0061G,38742587.5
FMT.0061GG,90285949.94
FMT.0061H,10188067.44
FMT.0061I,2377375.894
FMT.0061J,881040.4373
FMT.0061K,18691657.89
FMT.0061L,5156.74275
FMT.0061R,34094.70252
FMT.0061S,1163058.769
FMT.0061U,22989.1873
FMT.0061X,379001.3055
FMT.0061Z,95232146.41
FMT.0062A,3407169.424
FMT.0062AA,229.5001894
FMT.0062B,4369602.996
FMT.0062BB,694250.9146
FMT.0062D,31126045.23
FMT.0062E,52949480.47
FMT.0062EE,6272356.603
FMT.0062F,41342027.45
FMT.0062G,21326727.66
FMT.0062H,102082824.7
FMT.0062L,70301009.7
FMT.0062M,696458.3333
FMT.0062O,15755.91672
FMT.0062P,3062.209451
FMT.0062Q,820.9253659
FMT.0062R,8743.149866
FMT.0062S,304400.8659
FMT.0062T,1183617.613
FMT.0062V,6257020.33
FMT.0062W,5363764.296
FMT.0062X,3081265.365
FMT.0062Y,381148.6022
FMT.0062Z,436971.4362
FMT.0063A,25686862.64
FMT.0063B,38532356.06
FMT.0063C,695380.3357
FMT.0063CC,4023.101462
FMT.0063D,2258282.624
FMT.0063E,506283.9929
FMT.0063EE,157502.3175
FMT.0063EEE,53830247.73
FMT.0063F,244273.0311
FMT.0063FFF,29982902.16
FMT.0063G,3265906.269
FMT.0063I,3123774.494
FMT.0063III,109147642
FMT.0063JJJ,9119830.769
FMT.0063K,559550.2451
FMT.0063KKK,106876112.4
FMT.0063L,15250167.02
FMT.0063LLL,43517356.5
FMT.0063M,11236183.48
FMT.0063MM,20189847.22
FMT.0063N,421327.2028
FMT.0063NN,30744074.33
FMT.0063OO,34997339.05
FMT.0063P,12698.00139
FMT.0063TT,50839912.95
FMT.0063UU,242517950.2
FMT.0063YY,236463230.5
FMT.0064A,11557458.21
FMT.0064B,85159058.38
FMT.0064FF,17195325.26
FMT.0064H,555277.9154
FMT.0064J,39859.30275
FMT.0064K,82494.48003
FMT.0064M,480431.7472
FMT.0064O,154399.9314
FMT.0064P,568141.5516
FMT.0064Q,969908.7897
FMT.0064R,32745.71356
FMT.0064S,308965.6929
FMT.0064T,1177321.682
FMT.0064V,1126969.147
FMT.0064X,29542255.96
FMT.0066A,19732937.63
FMT.0066B,69622329.77
FMT.0066C,30557310.04
FMT.0066D,32370164.66
FMT.0066E,18988357.49
FMT.0066F,21891480.14
FMT.0066G,13326471.78
FMT.0066H,6541443.211
FMT.0066I,25812685.96
FMT.0066J,3828803.384
FMT.0066K,5442278.457
FMT.0066L,35134557.29
FMT.0066M,37520832.38
FMT.0066N,4846237.033
FMT.0066O,8628250
FMT.0066P,11508362.85
FMT.0066Q,5378397.552
FMT.0066R,801954.2549
FMT.0066S,33062124.77
FMT.0066T,37043320.99
FMT.0066U,7838024.246
FMT.0066W,45123339.42
FMT.0066X,83021401.75
FMT.0066Y,2030547.378
FMT.0066Z,83640919.25
FMT.0067A,22138475.89
FMT.0067B,65737766.67
FMT.0067C,38603448.32
FMT.0067N,11122392.05
FMT.0067U,63130701.59
FMT.0068A,15204016.05
FMT.0068B,20590354.12
FMT.0068C,68447965.33
FMT.0068D,2186875.095
FMT.0068E,9381116.325
FMT.0068F,34539302.98
FMT.0068G,70473167.56
FMT.0068H,60033993.77
FMT.0068I,19310321.12
FMT.0068J,35266535.03
FMT.0068L,5532776.905
FMT.0068M,190990.9601
FMT.0068N,28908.67265
FMT.0068Q,1693141.496
FMT.0068R,2951925.86
FMT.0068T,99661.15451
FMT.0068U,5102813.86
FMT.0068V,8539432.449
FMT.0068W,10529606.44
FMT.0068X,29362927.14
FMT.0068Y,38717888.89
FMT.0069AA,3693179.816
FMT.0069B,63955323.48
FMT.0069C,43740336.09
FMT.0069D,80066552.46
FMT.0069E,137905278.4
FMT.0069F,183005228.1
FMT.0069G,63105429.54
FMT.0069H,19116106.99
FMT.0069I,14990085.62
FMT.0069J,3842273.87
FMT.0069L,38929245.46
FMT.0069M,3813218.168
FMT.0069N,118073445.1
FMT.0069O,10310927.14
FMT.0069P,31153252.96
FMT.0069Q,60258794.97
FMT.0069R,23202975.87
FMT.0069S,9406154.832
FMT.0069W,1403128796
FMT.0069X,823841057.9
FMT.0069Y,1418232504
FMT.0069Z,56805962.38
FMT.0070A,114906114
FMT.0070C,103083925.5
FMT.0070D,580583.54
FMT.0070K,15792728.93
FMT.0070R,263883027
FMT.0070T,106351290.2
FMT.0070V,91873900.99
FMT.0070W,1085459417
FMT.0072A,9926091.315
FMT.0072I,5010027.44
FMT.0072K,14791831.62
FMT.0073A,209274101.5
FMT.0073B,175232926.5
FMT.0073D,277815816.8
FMT.0073F,54150698.12
FMT.0073G,577574987.2
FMT.0073H,405106939.1
FMT.0073N,155191.9939
FMT.0073P,230878.7634
FMT.0073R,16855.57891
FMT.0073S,110502.4688
FMT.0074A,87125942.39
FMT.0074D,42570204.42
FMT.0074E,80526567.66
FMT.0074F,77223639.24
FMT.0074G,77793535.71
FMT.0074H,63025155.04
FMT.0075B,201306569.4
FMT.0075C,294709835.6
FMT.0075D,81949962.75
FMT.0075E,58659888.89
FMT.0075F,4184318.213
FMT.0075I,16589889.83
FMT.0075J,2264400.971
FMT.0075K,2298728.938
FMT.0075L,9976460.64
FMT.0075M,9993386.488
FMT.0075N,57595077.13
FMT.0076Q,24304339.78
FMT.0077AA,297712616.8
FMT.0077B,87045449.04
FMT.0077C,373128582.7
FMT.0077CC,24837294.95
FMT.0077D,11276995.99
FMT.0077DD,30247940.74
FMT.0077EE,237379574.1
FMT.0077F,13559477.44
FMT.0077FF,9660697.647
FMT.0077G,5506756.848
FMT.0077GG,20298733.43
FMT.0077H,177094437.4
FMT.0077HH,2196208.242
FMT.0077I,35508601.89
FMT.0077II,113531114.9
FMT.0077J,22518381.52
FMT.0077JJ,37063596.64
FMT.0077K,4400331.859
FMT.0077KK,47598780.36
FMT.0077L,1849867.565
FMT.0077LL,95308267.86
FMT.0077M,392280.1186
FMT.0077MM,59161398.21
FMT.0077N,3117701.682
FMT.0077NN,8612727.187
FMT.0077O,5482643.44
FMT.0077OO,19861391.26
FMT.0077P,360601.6282
FMT.0077PP,47093686.29
FMT.0077QQ,2527809.587
FMT.0077R,5644888.571
FMT.0077RR,51049472.38
FMT.0077S,2758678.564
FMT.0077SS,91757286.69
FMT.0077T,143543559.5
FMT.0077U,144744276.7
FMT.0077X,14492273.38
FMT.0077Y,64197736.84
FMT.0077Z,95100130.31
FMT.0079D,177847743.6
FMT.0079E,7717780.234
FMT.0079F,5269075.82
FMT.0079G,2506687.73
FMT.0079I,308852.5318
FMT.0079M,2357731.584
FMT.0079O,14410268.64
FMT.0079P,283858173.9
FMT.0080B,34802714.48
FMT.0080C,790244.2508
FMT.0080D,7733255.765
FMT.0080E,23599988.61
FMT.0080F,12244563.52
FMT.0080H,546037.9951
FMT.0080I,1421473.684
FMT.0080J,10936724.5
FMT.0080K,18979800.08
FMT.0080L,3232497.841
FMT.0080Q,25654644.59
FMT.0080R,772851168.8
FMT.0080T,84306898.12
FMT.0081AA,1877455.313
FMT.0081B,69580264.37
FMT.0081C,111868678.2
FMT.0081G,86917619.7
FMT.0081L,63384245.4
FMT.0081N,13733187.47
FMT.0081O,27376852.12
FMT.0081P,51767418.66
FMT.0081Q,150606422.8
FMT.0081T,562231916
FMT.0081W,444169765.6
FMT.0081X,40042472.22
FMT.0081Y,203097856.9
FMT.0081Z,0
FMT.0082B,60004528.27
FMT.0082C,63175555.97
FMT.0082D,73435399.57
FMT.0082E,62981915.23
FMT.0082F,24854447.77
FMT.0082J,58769050.49
FMT.0082K,29043456.11
FMT.0082L,1884064.598
FMT.0082M,20743475.56
FMT.0082N,83946290.74
FMT.0082O,0
FMT.0082Q,955425.3231
FMT.0082Y,61727810.04
FMT.0082Z,2176931472
FMT.0083A,936888.6097
FMT.0083B,299993611.7
FMT.0083J,95539268.89
FMT.0083K,84642601.89
FMT.0083L,23982754.61
FMT.0083M,13706778.46
FMT.0083O,67233116.44
FMT.0083P,244754561.3
FMT.0083Q,457434527
FMT.0083S,126293149.4
FMT.0083T,10807329.53
FMT.0083U,8388132.844
FMT.0083V,0
FMT.0083W,438353315.7
FMT.0083X,398671974.7
FMT.0085A,100075951.7
FMT.0085B,26245043.57
FMT.0085C,90112929.38
FMT.0085D,19521911.38
FMT.0085E,5502000
FMT.0085F,11681171.88
FMT.0085G,47078329.92
FMT.0085H,90732421.27
FMT.0088A,91913326.7
FMT.0088B,55023369.75
FMT.0088C,14275968.66
FMT.0088D,12963943.07
FMT.0088E,49765153.03
FMT.0088F,72050204.78
FMT.0088G,125913494.9
FMT.0088H,63400052.51
FMT.0089A,43774031.35
FMT.0089B,66673051.14
FMT.0089C,77799762.82
FMT.0089D,76654897.87
FMT.0089E,62973196.67
FMT.0089F,104522408
FMT.0089G,24519479.4
FMT.0089H,45347184.31
FMT.0089I,27744857.14
FMT.0089J,12433745.88
FMT.0089K,16199464.17
FMT.0089L,8069188.783
FMT.0089M,31355.59882
FMT.0089N,9602367.41
FMT.0089O,10359846.86
FMT.0089P,14064182.6
FMT.0089Q,457264.3922
FMT.0089R,283384.3465
FMT.0089S,57457731.11
FMT.0090A,31789223.92
FMT.0090B,19489371.58
FMT.0090C,40295.30838
FMT.0090D,2691808.868
FMT.0090E,470777.0346
FMT.0090F,4747014.244
FMT.0090G,3013102.957
FMT.0090H,14797359.45
FMT.0090K,13756.87905
FMT.0090P,26230.48425
FMT.0090Q,35064.19596
FMT.0090T,594611.3062
FMT.0090U,33286726.25
FMT.0090V,20165.9752
FMT.0090W,3877956.361
FMT.0090X,43893124.54
FMT.0090Y,145882045.5
FMT.0091AA,3191450.541
FMT.0091B,46181703.96
FMT.0091BB,1478445.018
FMT.0091CC,1399228.926
FMT.0091D,138060623
FMT.0091DD,4631210.925
FMT.0091E,145767025.6
FMT.0091EE,5555902.61
FMT.0091F,48963563.96
FMT.0091FF,73236784.16
FMT.0091G,76963348.09
FMT.0091GG,223646817
FMT.0091H,7668575.91
FMT.0091HH,6941382.035
FMT.0091II,49572.80099
FMT.0091J,15182.65252
FMT.0091K,1508729.678
FMT.0091KK,26315208.63
FMT.0091LL,102382624.3
FMT.0091O,170868.5494
FMT.0091OO,6054128.862
FMT.0091PP,17672635.52
FMT.0091Q,32465.75414
FMT.0091QQ,1948391111
FMT.0091RR,793610892.9
FMT.0091S,1614062.549
FMT.0091SS,196916946.1
FMT.0091V,89663.82663
FMT.0091W,205691.9748
FMT.0091X,377274.2779
FMT.0091Z,22757861.22
FMT.0092A,219438807.6
FMT.0092AA,47287188.85
FMT.0092B,853261368.7
FMT.0092C,29517629.5
FMT.0092CC,23487951.05
FMT.0092D,287641694.4
FMT.0092DD,86308839.31
FMT.0092E,145019376.9
FMT.0092EE,8231519.378
FMT.0092F,53324214.07
FMT.0092FF,236050865.7
FMT.0092G,20183588.41
FMT.0092GG,75142773.95
FMT.0092HH,229122619.6
FMT.0092I,10888285.4
FMT.0092II,13088172.72
FMT.0092J,2372001.946
FMT.0092JJ,80972134.83
FMT.0092K,380121726.1
FMT.0092KK,177870520.6
FMT.0092L,68068953.41
FMT.0092LL,614117957
FMT.0092M,45263073.61
FMT.0092MM,968465452.1
FMT.0092N,52897598.17
FMT.0092NN,4630.852366
FMT.0092O,7253668.361
FMT.0092OO,3791006.944
FMT.0092P,220081989.7
FMT.0092Q,10249354.61
FMT.0092S,40123870.77
FMT.0092T,3987843.183
FMT.0092U,12495122.92
FMT.0092V,66846952.61
FMT.0092X,3407689.318
FMT.0092Y,18664744.09
FMT.0092Z,31657251.26
FMT.0093A,627608.4714
FMT.0093BB,135714174.2
FMT.0093C,40517664.88
FMT.0093CC,70791707.36
FMT.0093D,34226619.29
FMT.0093E,1572151.944
FMT.0093F,2967756.859
FMT.0093G,711398.1385
FMT.0093GG,18590212.5
FMT.0093H,130520.9415
FMT.0093HH,407914276.4
FMT.0093I,1050970.939
FMT.0093J,1887020.455
FMT.0093K,415882.0578
FMT.0093L,4586885.827
FMT.0093P,11932.92226
FMT.0093Q,1588.698327
FMT.0093S,12.56961615
FMT.0093T,44575.43067
FMT.0093U,750367.7432
FMT.0093V,355238.2605
FMT.0093W,125793.6901
FMT.0093X,988703.8172
FMT.0093Z,65038463.43
FMT.0094A,33730411.04
FMT.0094C,40019869.57
FMT.0094D,15864681.83
FMT.0094E,94719140.74
FMT.0094F,14676.00508
FMT.0094G,445.8861745
FMT.0094H,163161.7888
FMT.0094I,906659.8783
FMT.0094J,11973.92712
FMT.0094K,249866.87
FMT.0094L,753397.7297
FMT.0094M,71172.22137
FMT.0094N,624000
FMT.0094P,3616751.614
FMT.0094Q,714792.5398
FMT.0094R,49687.28067
FMT.0094U,213463658.9
FMT.0094X,265400567.4
FMT.0094Y,93142141.47
FMT.0097A,179220644.2
FMT.0097AA,34554979.99
FMT.0097B,406.1034387
FMT.0097BB,38966882.31
FMT.0097C,59326872.14
FMT.0097CC,80681983.62
FMT.0097D,43635112.13
FMT.0097DD,97434706.99
FMT.0097E,54295492.35
FMT.0097F,66317580.32
FMT.0097G,47439263.04
FMT.0097H,46387118.45
FMT.0097I,85295927.22
FMT.0097J,37883917.26
FMT.0097K,55160927.74
FMT.0097L,144050638.3
FMT.0097M,57133324.44
FMT.0097N,18788240.25
FMT.0097O,674574396.3
FMT.0097P,27278117.54
FMT.0097Q,83269541.5
FMT.0097R,56555178.79
FMT.0097S,76114454.7
FMT.0097T,62172051.53
FMT.0097U,38860960.15
FMT.0097V,170102782.9
FMT.0097W,50583833.79
FMT.0097Y,9244106.021
FMT.0097Z,34645979.7
FMT.0098A,1042604400
FMT.0098D,388283666.7
FMT.0098F,211986385.1
FMT.0098I,3236164.48
FMT.0098J,441937184.3
FMT.0098K,321719146.7
FMT.0098L,67057798.79
FMT.0098M,267992224.8
FMT.0098N,203849193
FMT.0098O,39961393.49
FMT.0098P,209163493.1
FMT.0099A,703690370.4
FMT.0099B,145986039.4
FMT.0099C,218510118.9
FMT.0099D,141916127.4
FMT.0099E,1578930.081
FMT.0099F,1417293.633
FMT.0099H,143431.5756
FMT.0099I,63598.1753
FMT.0099J,320339.7436
FMT.0099K,3516523.232
FMT.0099M,31846091.35
FMT.0099N,1591918.228
FMT.0099O,97696189.74
FMT.0100B,136868510.7
FMT.0100C,515354250
FMT.0100E,47015925.22
FMT.0100F,41798978.95
FMT.0100H,8411372.642
FMT.0100I,51581224.54
FMT.0100J,336590827.2
FMT.0100K,10824144.83
FMT.0100L,230282315.4
FMT.0100M,146211672.4
FMT.0100N,97920997.81
FMT.0100O,6153975.535
FMT.0100P,195209578.1
FMT.0101A,135190084.5
FMT.0101B,66607223.91
FMT.0101C,115542422.5
FMT.0101D,18469246.51
FMT.0101E,5903515.368
FMT.0101F,11461726.55
FMT.0101G,1470441.538
FMT.0101H,5656826.305
FMT.0101I,204140.8987
FMT.0101J,6270925.704
FMT.0101K,69302.56953
FMT.0101L,467104.8285
FMT.0102A,68049131.31
FMT.0102D,24146694.15
FMT.0102E,17398603.8
FMT.0102G,15443305.13
FMT.0102H,842110.2135
FMT.0102I,566791.4875
FMT.0102J,24991011.57
FMT.0102K,87044412.7
FMT.0102L,145542080.2
FMT.0102M,59627713.1
FMT.0103A,115320737.5
FMT.0103B,112667025.6
FMT.0103C,87341148.28
FMT.0103D,201081746.8
FMT.0103E,247093522.8
FMT.0103F,98848759.69
FMT.0103G,56867432.22
FMT.0103H,8644501.98
FMT.0103K,293507.3563
FMT.0103M,6686395.386
FMT.0103O,1840458.862
FMT.0103R,23217695.74
FMT.0103S,10172088.71
FMT.0103T,1147748.669
FMT.0103U,2328437.466
FMT.0103V,2418245.134
FMT.0103W,17859628.21
FMT.0103X,97425137.78
FMT.0103Y,368804423.2
FMT.0103Z,277758477.5
FMT.0104A,429667502.8
FMT.0104B,244146813.6
FMT.0104C,49402158.45
FMT.0104D,2900380.306
FMT.0104E,20025753.14
FMT.0104H,100180.7722
FMT.0104J,71199.04205
FMT.0104K,2337060.802
FMT.0104L,5183004.417
FMT.0104M,14977729.97
FMT.0104O,15902797.21
FMT.0104P,52244635.13
FMT.0104Q,68123340.08
FMT.0104R,11160980.75
FMT.0104S,26.2663391
FMT.0104T,166338357.5
FMT.0105A,66277.488
FMT.0105B,151969400.7
FMT.0105C,114880652.4
FMT.0105D,41.17667578
FMT.0105E,128486392.2
FMT.0105F,234282080.9
FMT.0105G,91105484.01
FMT.0105H,119206733.3
FMT.0105I,10093475.75
FMT.0105J,29466.01211
FMT.0105K,45508.22204
FMT.0105L,128069.4419
FMT.0105M,106347.3226
FMT.0105P,2517834.09
FMT.0105Q,32598043.12
FMT.0106A,4697381.754
FMT.0106AA,22108212.18
FMT.0106B,751216.4989
FMT.0106BB,44607.1406
FMT.0106C,43086606.67
FMT.0106CC,1922.835683
FMT.0106D,822843345
FMT.0106DD,25895150.24
FMT.0106E,28083510.38
FMT.0106EE,885.8866909
FMT.0106F,7676747.024
FMT.0106G,123948.4464
FMT.0106GG,3863094.876
FMT.0106H,140399.2413
FMT.0106I,105318.4661
FMT.0106K,968247.0439
FMT.0106L,46643443.99
FMT.0106M,108092436
FMT.0106R,23400323.07
FMT.0106S,178533964
FMT.0106U,5715190.431
FMT.0106V,15664244.67
FMT.0106W,43052984.58
FMT.0106X,28660.15543
FMT.0106Y,150472260.4
FMT.0106Z,5783.345292
