SampleID,qPCR16S
1179T,8922251.816
1179U,20094142.56
1179V,8754900.602
1179W,205101775.8
1179X,44792015.59
1179Y,36726985.15
1186A,278478264.2
1186B,14716011.97
1186C,7472246.343
1186D,36080.6461
1186E,46060.4081
1186G,13914901.18
1186H,7989602.564
1186I,927148.6742
1186K,1467839.012
1186M,3325025.436
1186N,1062147.513
1186P,1533419.987
1186R,32279036.43
1186S,42482790.06
1186U,125042971.3
1186V,96927209.44
1189A,2763606.379
1189B,81038636.36
1189C,31935019.65
1189D,29997464.71
1189E,35366324.02
1191A,33259466.14
1191D,74736238.74
1191E,39739541.23
1191F,14721448.07
1191G,11068143.97
1191Q,360674.4865
1191R,26443306.12
1191T,28275859.58
1191U,106097627.5
1191V,12161292.69
1191W,471373449.3
1191X,26165891.7
1191Y,61642.50579
1191Z,4536097926
1192A,190631968.8
1192B,42633419.72
1192C,3001705.249
1192D,57813198.53
1192E,59352954.62
1192F,18191721.78
1192G,69175437.52
1192H,2516011.991
1192K,16680340.67
1192L,138689846
1192M,104589341.8
1192N,60405550.84
1192O,471179333.3
1192P,193797497.2
1192Q,47418399.24
1192S,62886671.26
1192T,1272320173
1193A,28249538.08
1193B,20347151.86
1193C,16379875.49
1193D,5344148.062
1193E,3292963.76
1193F,11180446.44
1193G,39663245.31
1193H,7426901.208
1193J,2948696.496
1193K,1907672.295
1193M,6414460.966
1193N,47308897.27
1195C,27194572.37
1195D,48447074.43
1195DD,14963274.45
1195E,108083476.7
1195EE,13274314.13
1195F,3072392.822
1195FF,21208109.03
1195GG,4549.339667
1195R,138483400
1195S,41250524.59
1195T,13661117.21
1195W,154969446.6
1195X,1830001.629
1195Y,3170096.147
1196A,107410121.6
1196B,27155884.42
1196C,21268632.26
1196R,21047622.22
1197B,81717728.18
1197C,65775206.03
1197J,28202546.67
1200A,4195755.208
1200B,11207955.43
1201A,34658956.88
1201B,10035569.22
1201C,49231633.33
1202A,6000415.893
1202P,40237307.14
1202Q,51978086.25
1202S,223295390.8
1202U,115935765.4
1202V,305856807.7
1203A,103206282.5
1203B,76820193.76
1203C,182746035.4
1203D,156186228.4
1203E,11415992.92
1203F,399953.8323
1203G,37254232.14
1203H,18871082.15
1203I,126.8543359
1203J,20711432.88
1203K,14747669.76
1203L,71276650
1203M,11837043.8
1203N,106942525.3
1203O,25932445.2
1203P,13.46322404
1203Q,5461647.616
1203R,894.2025793
1203S,4876267.921
1203T,18793.13829
1203V,4824.766988
1203W,0
1203X,13035.18055
1203Y,696.5178737
1207A,45765496.93
1207AA,119807405.2
1207B,5180201.071
1207BB,31855148.89
1207C,83816050.87
1207CC,82524075.24
1207D,77250334.62
1207E,194436616.4
1207F,140027553.2
1207G,2366498.986
1207H,16514607.82
1207J,108125302.6
1207L,28269089.91
1207M,35423561.7
1207N,4197535.93
1207P,102999153.7
1207Q,231031.2668
1207R,336523.3135
1207S,4131.64664
1207V,58022.72184
1207W,415564.322
1207X,50668943.03
1207Y,3079938.202
1207Z,39156091.31
1208D,73249644.98
1209G,9253735.832
1209H,261861056
1209J,16826512.87
1209K,53654177.64
1210BB,205654131.2
1210CC,236933529.4
1210DD,21538015.93
1210EE,278.0780395
1210GG,551960.0827
1210HH,5951225
1210II,447345354.3
1210K,66705244.34
1210N,386.0347918
1210O,8.171857441
1210P,14960634
1210Q,14130079.8
1210W,18771026.21
1210X,5719335.505
1210Y,4368996.158
1220E,7511481.308
1220H,2259204.63
1221A,12658443.47
1221H,1623012.174
1221I,19285754.39
1221Q,38687118.97
1221T,93916450.7
1221U,167857739.8
1221V,7705073.424
1222A,58500844.2
1222B,9610864.276
1222C,17667332.76
1222D,36461217.49
1230B,77229242.55
1230C,73001774.65
1230D,53376628.42
1230E,27641691.77
1230F,80157595.96
1230G,33266872.17
1230H,24457959.48
1230I,24715469.47
1230J,1050657.83
1230K,1861643.059
1230L,1295947.642
1230M,1283761.149
1230N,14683231.62
1230O,85652793.5
1230P,2270694.708
1230Q,7117671.569
1230R,1215849.973
1230S,434057.2724
1230U,919530.7781
1230V,1399145.718
1230W,249593980.1
1230X,55234238.37
1230Y,3553465.036
1233AA,31211392.33
1233BB,77338.58036
1233CC,224599.298
1233DD,499499.6957
1233E,231685.7687
1233EE,3599553.47
1233FF,1296720.502
1233K,12866383.06
1233L,7830416.505
1233M,1843830.131
1233W,320329.5188
1233Y,406136.3019
1233Z,5124332.317
1234B,52110380.18
1234C,61140.5897
1234D,503706.8612
1234E,5656284.769
1234F,10819713.15
1234G,19388364.26
1234H,9436570.469
1234I,537035.8899
1234J,50159.61204
1234K,4061311.632
1234L,4342505.026
1234M,531943.19
1234N,11693.82236
1244B,4448113.454
1244C,1063552.9
1244D,39309779.95
1244E,28291445.1
1244F,71044963.61
1244G,40936342.29
1244H,4246304.189
1244I,7561567.568
1244J,3665541.274
1244K,2586397.294
1244L,199694.6786
1244M,1372786.98
1244N,6900738.907
1244O,16763201.68
